[9999]
[1]
[0]
[9989.001, 10.979000000000001, 0.21958000000000003]
[9879.331758021, 120.42866197900001, 2.6281532395800005]
[8689.57705315589, 1307.7747936045312, 28.783649111670627]
[-2674.4327840457245, 12645.629134934055, -21145.47234930569]
[31145.45234930569, 0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
[31145.45234930569, 0.0, -21145.47234930569]
