<<<<<<< HEAD
1 1.0282489462880329
-976844.8333426043 1.0362201805817175
-1254494.3827766497 1.0712568146701686
-2878398.886342858 1.1444324786462257
-6604397.965148084 1.132431955754685
-15153588.576276505 1.1971406805122613
-34769444.23259161 1.2515323658523254
-79777423.42403945 1.2863142116582058
-183046851.29860914 1.3203275121135691
-419995386.31675917 1.3504945296275368
-963666532.7807477 1.360825359342862
-2211103304.123633 1.4395550500155017
-5073308717.486385 1.462538060064795
-11640551255.53021 1.5260473280764968
-26708887843.860962 1.5321989190449046
-61282724004.76202 1.5790647918167284
-140611330707.54398 1.6072256050765559
-322628385804.2919 1.7248883776721207
-740260936319.3978 1.7367799935347001
-1698506014820.6643 1.772495401962812
-3897169958374.282 1.841375994381527
-8941936944543.945 1.8999599545811816
-20517000072933.633 1.939179604970645
-47075627417570.41 1.992786287097452
-108013583315303.56 2.06915426543988
-247833854175196.5 2.1920465134784854
-568647177420603.5 2.180993850644479
-1304743508366023.2 2.306711854876151
-2993693963883199.0 2.3661200793559423
-6868938984501548.0 2.458921550545287
-1.5760569831795276e+16 2.4572865778991537
-3.616214410746006e+16 2.51345074609885
-8.297293057326909e+16 2.6089918152693152
-1.9037884444734275e+17 2.7503192229841136
-4.3681841972666304e+17 2.735518594044643
-1.0022664669827626e+18 2.8684422818702613
-2.2996696693026222e+18 2.9115393658805218
-5.276521526087718e+18 3.0976311142450377
-1.2106816812394662e+19 3.157545257293865
-2.777871986387218e+19 3.2724625217805023
-6.373742076327471e+19 3.3913076865259497
-1.4624355713519336e+20 3.4651517497830877
-3.355513566039652e+20 3.515024040209853
-7.699122964759013e+20 3.6995913616485447
-1.7665401513021077e+21 3.7887848280959866
-4.0532721979459277e+21 3.8123712458915837
-9.300108745635738e+21 4.06612268467342
-2.1338814285525117e+22 4.208390181157664
-4.896125492358469e+22 4.266846032737231
-1.1234009779626581e+23 4.449664193082787
-2.5776090895896047e+23 4.39590755810133
-5.9142450016238096e+23 4.733776680855073
-1.3570053768238886e+24 4.721102645452547
-3.1136072182051185e+24 4.967203281463762
-7.144076268842353e+24 5.0967622358025935
-1.639186389234347e+25 5.0929300420027905
-3.761062896780264e+25 5.362911425802735
-8.629643466076157e+25 5.58297544481617
-1.9800452264529565e+26 5.632178299768558
-4.543153044747748e+26 5.816079811875597
-1.0424125324134922e+27 6.099653458343648
-2.391783585166551e+27 6.119904667205428
-5.487874080933408e+27 6.381746671534563
-1.25917587673734e+28 6.703120333819667
-2.8891404306557518e+28 6.796610326574941
-6.629044109134318e+28 7.131105051020869
-1.5210138397763631e+29 7.063393564232458
-3.489919606362903e+29 7.367967855591824
-8.0075135020908e+29 7.648237254239492
-1.8372994142690533e+30 7.974696795204123
-4.2156271566598085e+30 8.046997900585675
-9.672627219030512e+30 8.23598100923468
-2.2193546497707977e+31 8.611268113819946
-5.092241177007695e+31 9.045340553121466
-1.1683991203249426e+32 8.997674679803254
-2.6808559471613514e+32 9.507919268226788
-6.1511417497743566e+32 9.701108503667086
-1.4113606091323445e+33 10.103951683679547
-3.238323631679425e+33 10.177709524296038
-7.430234254546968e+33 10.417197748569109
-1.704844461416957e+34 11.064822928550623
-3.9117133296913625e+34 11.18329272108202
-8.975306263990477e+34 11.52706696137502
-2.0593564952977435e+35 11.830323111052667
-4.725130318661073e+35 12.02400947794212
-1.0841666597944741e+36 12.5469730313899
-2.4875871498565923e+36 13.254267041241535
-5.707692421850274e+36 13.162278342063022
-1.309612520884952e+37 13.917151332167768
-3.004865763776837e+37 13.909210252096969
-6.894572336722001e+37 14.864311287645588
-1.5819384772298458e+38 14.868704757091004
-3.629709318460936e+38 15.878468983762733
-8.328256709194346e+38 16.239705295131785
-1.910892959429889e+39 16.613184074075697
-4.3844852889410485e+39 16.765997556841572
-1.0060067024725354e+40 17.168230006649974
-2.3082515249220897e+40 18.039971510407792
-5.296212330603842e+40 18.350475306660435
-1.2151996759446283e+41 18.77594587993174
-2.7882383866727717e+41 19.252752546657337
-6.39752746384852e+41 20.51305834064364
-1.4678930555696218e+42 20.881893236151754
-3.368035596197856e+42 21.574766768954298
-7.727854378910385e+42 22.56568597826876
-1.7731324861608192e+43 23.22334488106993
-4.068398108094457e+43 23.722260055285087
-9.334814682564754e+43 24.439438105424472
-2.141844599338885e+44 24.86766874243687
-4.914396743499922e+44 25.50314167696055
-1.1275932604997266e+45 26.028501050940335
-2.5872281532949548e+45 26.732574407883995
-5.936315648282155e+45 28.542431742296834
-1.3620694190096843e+46 28.31954240010153
-3.125226507687886e+46 29.533339751379206
-7.170736372200702e+46 30.32982526375466
-1.6453034681842428e+47 32.00399350544467
-3.775098346821961e+47 31.66521579869498
-8.661847375734105e+47 33.29682457077018
-1.9874343147556204e+48 34.48674392271493
-4.560107081237255e+48 35.54786245960932
-1.0463025840885266e+49 36.42927470514701
-2.400709189428287e+49 37.18409560196538
-5.508353606166557e+49 38.85024585030823
-1.2638748409920426e+50 40.68970310974343
-2.899922060022449e+50 40.95943762181415
-6.653782227047109e+50 42.889155000660075
-1.526689925060443e+51 44.1420620402926
-3.502943209963519e+51 44.44856479977328
-8.037395761122691e+51 46.16492707673645
-1.8441558069559958e+52 48.37462806938633
-4.231358939396645e+52 49.72800694140193
-9.708723312031481e+52 51.56384287396712
-2.227636787604317e+53 51.04930898238979
-5.111244288256208e+53 54.395793128899335
-1.1727593259189847e+54 55.80682404289138
-2.6908603051707816e+54 58.049197067430086
-6.17409644239656e+54 59.557218786828564
-1.416627492953207e+55 61.26583546859055
-3.250408335072766e+55 62.24112184436307
-7.457962235849032e+55 65.25365733484826
-1.711206561685891e+56 66.55312564507938
-3.926310973634868e+56 68.71596952205546
-9.008800110313819e+56 70.03825931331981
-2.0670415556120876e+57 72.33795196505748
-4.742763453854014e+57 72.45837122483881
-1.0882125285842374e+58 77.85968488046032
-2.496870271709213e+58 79.13196102505798
-5.728992260230759e+58 81.1855841325792
-1.3144997034754367e+59 81.50579103286587
-3.01607925434239e+59 86.74950639064312
-6.920301346910524e+59 88.35657807246794
-1.5878419197075578e+60 92.35910198480411
-3.6432545861693685e+60 95.52140902416883
-8.359335910522352e+60 96.82195505257056
-1.9180239868556918e+61 99.23853965641372
-4.4008472126632415e+61 103.93963137763085
-1.0097608956891002e+62 105.50466299382605
-2.316865406117602e+62 106.13305373728382
-5.315976616821985e+62 109.54542674402902
-1.219734530800953e+63 113.94373175521517
-2.798643472058073e+63 117.11085828388762
